Waktu,Vol ASI,Relaksasi EEG,Relaksasi User
14:51:53,126,0.986,0
14:51:54,126,0.982,0
14:51:55,126,0.983,0
14:51:56,126,0.991,0
14:51:57,126,0.983,0
14:51:58,126,0.987,0
14:51:59,126,0.992,0
14:52:00,126,0.981,0
14:52:01,126,0.981,0
14:52:02,126,0.985,0
14:52:03,126,0.971,0
14:52:04,126,0.983,0
14:52:05,126,0.981,0
14:52:06,126,0.975,0
14:52:07,126,0.989,0
14:52:08,126,0.98,0
14:52:09,126,0.982,0
14:52:10,126,0.99,0
14:52:11,126,0.971,0
14:52:12,126,0.984,0
14:52:13,126,0.982,0
14:52:14,126,0.974,0
14:52:15,126,0.987,0
14:52:16,126,0.965,0
14:52:17,126,0.977,0
14:52:18,126,0.984,0
14:52:19,126,0.964,0
14:52:20,126,0.987,0
14:52:21,126,0.985,0
14:52:22,126,0.978,0
14:52:23,126,0.99,0
14:52:24,126,0.977,0
14:52:25,126,0.981,0
14:52:26,126,0.99,0
14:52:27,126,0.967,0
14:52:28,126,0.987,0
14:52:29,126,0.986,0
14:52:30,126,0.976,0
14:52:31,126,0.989,0
14:52:32,126,0.972,0
14:52:33,126,0.979,0
14:52:34,126,0.987,0
14:52:35,126,0.968,0
14:52:36,126,0.986,0
14:52:37,126,0.99,0
14:52:38,126,0.977,0
14:52:39,126,0.991,0
14:52:40,126,0.979,0
14:52:41,126,0.987,0
14:52:42,126,0.992,0
14:52:43,126,0.978,0
14:52:44,126,0.987,0
14:52:45,126,0.981,0
14:52:46,126,0.97,0
14:52:47,126,0.985,0
14:52:48,126,0.966,0
14:52:49,126,0.981,0
14:52:50,126,0.984,0
14:52:52,126,0.971,0
14:52:53,126,0.986,0
14:52:54,126,0.988,0
14:52:55,126,0.977,0
14:52:56,126,0.987,0
14:52:57,126,0.977,0
14:52:58,126,0.976,0
14:52:59,126,0.988,0
14:53:00,126,0.976,0
14:53:01,126,0.987,0
14:53:02,126,0.994,0
14:53:03,126,0.981,0
14:53:04,126,0.99,0
14:53:05,126,0.977,0
14:53:06,126,0.971,0
14:53:07,126,0.984,0
14:53:08,126,0.973,0
14:53:09,126,0.983,0
14:53:10,126,0.991,0
14:53:11,126,0.975,0
14:53:12,126,0.99,0
14:53:13,126,0.991,0
14:53:14,126,0.982,0
14:53:15,126,0.986,0
14:53:16,126,0.978,0
14:53:17,126,0.972,0
14:53:18,126,0.984,0
14:53:19,126,0.981,0
14:53:20,126,0.979,0
14:53:21,126,0.988,0
14:53:22,126,0.978,0
14:53:23,126,0.98,0
14:53:24,126,0.99,0
14:53:25,126,0.975,0
14:53:26,126,0.983,0
14:53:27,126,0.99,0
14:53:28,126,0.972,0
14:53:29,126,0.982,0
14:53:30,126,0.977,0
14:53:31,126,0.971,0
14:53:32,126,0.981,0
14:53:33,126,0.98,0
14:53:34,126,0.978,0
14:53:35,126,0.988,0
14:53:36,126,0.977,0
14:53:37,126,0.981,0
14:53:38,126,0.988,0
14:53:39,126,0.972,0
14:53:40,126,0.985,0
14:53:41,126,0.99,0
14:53:42,126,0.981,0
14:53:43,126,0.991,0
14:53:44,126,0.993,0
14:53:45,126,0.983,0
14:53:46,126,0.99,0
14:53:47,126,0.986,0
14:53:48,126,0.977,0
14:53:49,126,0.989,0
14:53:50,126,0.98,0
14:53:51,126,0.98,0
14:53:52,126,0.99,0
14:53:53,126,0.975,0
14:53:54,126,0.984,0
14:53:55,126,0.99,0
14:53:56,126,0.974,0
14:53:57,126,0.984,0
14:53:58,126,0.988,0
14:53:59,126,0.971,0
14:54:00,126,0.988,0
14:54:01,126,0.981,0
14:54:02,126,0.979,0
14:54:03,126,0.987,0
14:54:04,126,0.971,0
14:54:05,126,0.98,0
14:54:06,126,0.982,0
14:54:07,126,0.973,0
14:54:08,126,0.985,0
14:54:09,126,0.977,0
14:54:10,126,0.978,0
14:54:11,126,0.985,0
14:54:12,126,0.963,0
14:54:13,126,0.983,0
14:54:14,126,0.972,0
14:54:15,126,0.977,0
14:54:16,126,0.986,0
14:54:17,126,0.967,0
14:54:18,126,0.988,0
14:54:19,126,0.977,0
14:54:20,126,0.983,0
14:54:21,126,0.99,0
14:54:22,126,0.967,0
14:54:23,126,0.991,0
14:54:24,126,0.973,0
14:54:25,126,0.984,0
14:54:26,126,0.99,0
14:54:27,126,0.976,0
14:54:28,126,0.991,0
14:54:29,126,0.977,0
14:54:30,126,0.983,0
14:54:31,126,0.986,0
14:54:32,126,0.975,0
14:54:33,126,0.989,0
14:54:34,126,0.977,0
14:54:35,126,0.989,0
14:54:36,126,0.986,0
14:54:37,126,0.978,0
14:54:38,126,0.99,0
14:54:39,126,0.969,0
14:54:40,126,0.987,0
14:54:41,126,0.982,0
14:54:42,126,0.984,0
14:54:43,126,0.994,0
14:54:44,126,0.979,0
14:54:45,126,0.992,0
14:54:46,126,0.984,0
14:54:47,126,0.977,0
14:54:48,126,0.99,0
14:54:49,126,0.974,0
14:54:50,126,0.989,0
14:54:51,126,0.985,0
14:54:52,126,0.971,0
14:54:53,126,0.986,0
14:54:54,126,0.963,0
14:54:55,126,0.986,0
14:54:56,126,0.983,0
14:54:57,126,0.982,0
14:54:58,126,0.991,0
14:54:59,126,0.969,0
14:55:00,126,0.99,0
14:55:01,126,0.977,0
14:55:02,126,0.983,0
14:55:03,126,0.988,0
14:55:04,126,0.975,0
